CaO,Al2O3,SiO2,molar_volume,density,youngs_modulus,shear_modulus,bulk_modulus,poisson_ratio,fracture_toughess
0.0,0.0,100.0,,,73.0,,,,
58.5,39.0,2.5,25.683661234396673,2.884,,,,,
60.0,40.0,0.0,25.49,2.919985876814438,,,,,
51.4,48.5,0.1,26.84525825908156,2.918,,,,,
57.0,38.0,5.0,25.497377378069874,2.891,,,,,
61.3,33.71,5.0,24.6,2.916673260162602,,,,,
50.73,42.27,7.0,26.60771233579206,2.847,,,,,
55.5,37.0,7.5,25.373281563472837,2.891,,,,,
54.0,36.0,10.0,25.1,2.90818310756972,,,,,
50.0,40.0,10.0,25.982881944444443,2.88,,,,,
51.43,38.57,10.0,25.755062090277768,2.88,,,,,
55.0,35.0,10.0,25.18630902777778,2.88,,,,,
60.0,30.0,10.0,24.305342560553626,2.89,,,,,
65.0,25.0,10.0,23.26996917808219,2.92,,,,,
54.0,36.0,10.0,25.425076976663178,2.8710000000000004,,,,,
61.0,29.0,10.0,23.8,2.92,,,,,
53.0,37.0,10.0,25.3,2.9,,,,,
45.0,45.0,10.0,26.8,2.87,,,,,
40.0,50.0,10.0,28.6,2.78,,,,,
35.0,55.0,10.0,27.4,2.98,,,,,
58.07,31.93,10.0,24.28,2.9294882281713344,,,,,
60.12,29.65,10.23,23.92186241638225,2.93,,,,,
44.1,44.1,11.8,26.98908028119508,2.845,,,,,
44.1,44.1,11.8,26.847529160839162,2.86,,,,,
52.5,35.0,12.5,25.29130745125348,2.872,,,,,
51.0,34.0,15.0,25.307378851540623,2.8560000000000003,,,,,
51.0,34.0,15.0,25.307378851540623,2.8560000000000003,,,,,
54.84,30.16,15.0,24.25,2.90787555298969,,,,,
49.5,33.0,17.5,25.0589243902439,2.87,,,,,
40.44,40.64,18.92,26.512602936424308,2.847,,,,,
40.51,40.51,18.99,26.58799532604864,2.8369999999999997,,,,,
40.51,40.51,18.99,26.53188277875483,2.843,,,,,
40.4,40.6,19.0,26.507281208289424,2.847,,,,,
55.0,26.0,19.0,23.4,2.92,,,,,
47.64,33.3,19.06,25.0,2.88,,,,,
39.66,40.71,19.63,26.50593573333333,2.85,,,,,
48.0,32.0,20.0,24.78,2.8878269572235684,,,,,
48.0,32.0,20.0,24.933920557491287,2.87,,,,,
51.62,28.39,20.0,24.08,2.9032225033222585,,,,,
40.0,39.7,20.3,26.2606013986014,2.86,,,,,
40.0,39.7,20.3,26.2606013986014,2.86,,,,,
49.6,30.1,20.3,24.463872110726648,2.89,,,,,
39.0,39.0,22.0,26.3,2.85,,,,,
39.4,36.1,24.5,26.04232599929254,2.827,,,,,
46.04,25.32,28.64,24.94247063768116,2.76,,,,,
35.5,35.5,29.0,26.315847172512523,2.7939999999999996,,,,,
40.47,30.42,29.11,25.070437950704232,2.84,,,,,
30.0,40.0,30.0,28.464892736168608,2.657,,,,,
42.0,28.0,30.0,24.65,2.844840081135904,,,,,
40.0,30.0,30.0,25.17468462083628,2.822,,,,,
35.0,35.0,30.0,26.09860854092527,2.81,,,,,
49.85,19.7,30.45,22.87415996551724,2.9,,,,,
50.3,16.7,33.0,22.5,2.9,,,,,
45.6,21.4,33.0,23.5,2.87,,,,,
41.9,25.1,33.0,24.2,2.84,,,,,
39.4,27.6,33.0,24.8,2.82,,,,,
37.2,29.8,33.0,25.5,2.81,,,,,
35.3,31.7,33.0,25.9,2.8,,,,,
33.5,33.5,33.0,26.0,2.79,,,,,
29.0,38.0,33.0,27.1,2.76,,,,,
24.0,43.0,33.0,27.3,2.83,,,,,
33.34,33.34,33.33,26.099904221105533,2.786,,,,,
33.33,33.33,33.33,26.066163291502328,2.7889999999999997,,,,,
32.46,33.83,33.71,26.43071015942029,2.76,,,,,
35.0,30.0,35.0,27.140224761904758,2.625,,,,,
37.5,27.5,35.0,24.98967023172905,2.805,,,,,
48.2,15.5,36.3,22.76131929577465,2.84,,,,,
35.7,26.5,37.8,25.27147528985508,2.76,,,,,
36.0,26.0,38.0,25.100311913357395,2.77,,,,,
43.27,18.27,38.46,23.571268207142857,2.8,,,,,
30.8,29.4,39.8,25.763909920347572,2.762,,,,,
40.88,19.27,39.85,22.701028368600678,2.93,,,,,
50.18,9.9,39.92,21.38062382130584,2.91,,,,,
37.92,22.16,39.92,24.2,2.8,,,,,
36.0,24.0,40.0,24.51,2.802540350877193,,,,,
40.0,20.0,40.0,23.72425833924769,2.818,,,,,
50.0,10.0,40.0,21.45647829083391,2.9019999999999997,,,,,
30.0,30.0,40.0,25.97935272727273,2.75,,,,,
45.0,15.0,40.0,22.495062717770033,2.87,,,,,
50.0,10.0,40.0,21.10735593220339,2.95,,,,,
34.29,25.71,40.0,25.17204944202899,2.76,,,,,
40.0,20.0,40.0,23.87677142857143,2.8,,,,,
50.0,10.0,40.0,21.62038194444445,2.88,,,,,
50.0,10.0,40.0,21.85,2.85,,,,,
40.0,20.0,40.0,23.791800711743768,2.81,,,,,
50.0,10.0,40.0,21.471275862068968,2.9,,,,,
54.0,6.0,40.0,20.6,2.93,,,,,
50.0,10.0,40.0,21.4,2.9,,,,,
45.0,15.0,40.0,22.6,2.85,,,,,
40.0,20.0,40.0,23.7,2.82,,,,,
35.0,25.0,40.0,24.8,2.78,,,,,
30.0,30.0,40.0,26.0,2.76,,,,,
27.3,32.7,40.0,26.3,2.77,,,,,
30.03,29.65,40.32,25.83168087681159,2.76,,,,,
39.46,19.84,40.7,23.691335475177308,2.82,,,,,
29.4,29.4,41.2,25.859097893972397,2.7539999999999996,,,,,
38.0,20.0,42.0,23.64359307665136,2.8310000000000004,,,,,
